ObservationID,ObservationDate,Location,Category,Description,RiskLevel,IsNearMiss,IsIncident
OBS_20260311_134621,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134621,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134621,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134621,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134621,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134621,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134621,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134621,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134621,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134621,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134622,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134622,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134622,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134622,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134622,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134622,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134622,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134622,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134622,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134622,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134622,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134622,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134623,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134623,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134623,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134623,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134623,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134623,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134623,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134623,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134623,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134623,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134624,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134624,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134624,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134624,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134624,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134624,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134624,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134624,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134624,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134624,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134624,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134624,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134625,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134625,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134625,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134625,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134625,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134625,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134625,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134625,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134625,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134625,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134625,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134625,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134626,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134626,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134626,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134626,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134626,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134626,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134626,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134626,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134626,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134626,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134626,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134626,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134627,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134627,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134627,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134627,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134627,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134627,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134627,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134627,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134627,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134627,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134627,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134627,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134628,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134628,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134628,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134628,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134628,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134628,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134628,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134628,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134628,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134628,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134628,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134628,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134629,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134629,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134629,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134629,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134629,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134629,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134629,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134629,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134629,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134629,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134630,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134630,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134630,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134630,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134630,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134630,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134630,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134630,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134630,2026-03-11,CAM_1,Restricted Zone,Unauthorized entry detected.,High,True,False
OBS_20260311_134630,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134630,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134630,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134631,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134631,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134631,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134631,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134631,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134631,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134631,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134631,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134631,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134631,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134631,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134632,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134632,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134632,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134632,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134632,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134632,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134632,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134632,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134632,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134632,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134633,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134633,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134633,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134633,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134633,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134633,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134634,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134634,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134634,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134634,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134634,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134634,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134634,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134634,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134634,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134634,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134634,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134634,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134635,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134635,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134635,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134635,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134635,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134635,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134635,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134635,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134635,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134635,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134635,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134635,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134636,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134636,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134636,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134636,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134636,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134636,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134636,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134636,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134636,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134636,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134636,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134637,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134637,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134637,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134637,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134637,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134637,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134637,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134637,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134638,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134638,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134638,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134638,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134638,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134638,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134638,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134638,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134638,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134638,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134638,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134639,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134639,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134639,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134639,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134639,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134639,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134639,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134639,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134639,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134639,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134639,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134641,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134641,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134641,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134641,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134641,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134641,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134641,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134641,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134641,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134642,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134642,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134642,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134642,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134642,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134642,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134642,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134643,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134643,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134643,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134643,2026-03-11,CAM_1,Fire Safety,Fire detected near equipment.,High,False,False
OBS_20260311_134643,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134643,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134643,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
OBS_20260311_134643,2026-03-11,CAM_1,PPE,Helmet missing detected.,Medium,True,False
